Brand,Name,Graphics Processor__GPU Name,Graphics Processor__Architecture,Release_Year_Normalized,Memory__Memory Size,Memory__Memory Type,Memory__Memory Bus,Graphics Card__Bus Interface,Board Design__TDP,Render Config__Shading Units,Theoretical Performance__FP32 (float),Graphics Features__DirectX,Graphics Features__OpenGL,Graphics Features__Shader Model,Recommended Resolutions
ATI,Color Emulation Card,CW16800-A,Wonder,1986,32 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,Graphics Solution,CW16800-A,Wonder,1986,64 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,EGA Wonder 800,16899-0 | CHIPS P82C435,Wonder,1987,256 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,Graphics Solution Plus,CW16800-B,Wonder,1987,64 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,VGA Improved Performance,16899-0 | CHIPS P82C441,Wonder,1987,256 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,EGA Wonder 480,16899-0 | CHIPS P82C435,Wonder,1988,256 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,EGA Wonder 800+,18800-1,Wonder,1988,256 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,VGA Wonder,18800-1,Wonder,1990,256 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,VGA Wonder+,28800-5,Wonder,1990,512 KB,DRAM,32 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,8514-Ultra,Mach8,Mach,1992,1 MB,VRAM,32 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,
ATI,Graphics Ultra,Mach8,Mach,1992,1 MB,VRAM,32 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Ultra Pro ISA,Mach32,Mach,1992,2 MB,DRAM,64 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Ultra Pro ISA,Mach32,Mach,1992,2 MB,DRAM,64 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Vantage,Mach8,Mach,1992,1 MB,DRAM,32 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Wonder PCI,Mach32,Mach,1992,1 MB,DRAM,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Wonder VLB,Mach32,Mach,1992,1 MB,DRAM,64 bit,vlb,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,VGA Wonder XL24,28800-6,Wonder,1992,1 MB,DRAM,32 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Ultra Pro PCI,Mach32,Mach,1993,1 MB,DRAM,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Ultra Pro VLB,Mach32,Mach,1993,1 MB,VRAM,64 bit,vlb,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Ultra XLR VLB,Mach32,Mach,1993,1 MB,VRAM,64 bit,vlb,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Sony,Playstation GPU 600nm,GTE,,1994,1 MB,VRAM,32 bit,unknown,11 W,fixed-pipeline,unknown,,,,
ATI,Graphics Pro Turbo,Mach64,Mach,1995,2 MB,VRAM,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Xpression,Mach64,Mach,1995,2 MB,EDO,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Xpression ISA,Mach64,Mach,1995,2 MB,DRAM,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Video Xpression,Mach64,Mach,1995,1 MB,EDO,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,WinBoost,Mach64,Mach,1995,2 MB,EDO,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,WinCharger,Mach64,Mach,1995,2 MB,EDO,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,WinTurbo,Mach64,Mach,1995,2 MB,VRAM,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,NV1,NV1,,1995,2 MB,EDO,64 bit,pci,2 W,fixed-pipeline,unknown,1.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,STG-2000,NV1,,1995,1 MB,FPM,64 bit,pci,2 W,fixed-pipeline,unknown,1.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo Graphics 4 MB,SST1,,1996,4 MB,EDO,128 bit,pci,15 W,fixed-pipeline,unknown,5.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,3D Rage,Mach64 GT,Mach,1996,2 MB,EDO,64 bit,pci,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,3D Rage II,Mach64 GT-B,Mach,1996,4 MB,SDR,64 bit,pci,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,3D Rage II+ DVD,Mach64 GT-B,Mach,1996,4 MB,SDR,64 bit,pci,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,All-In-Wonder 3D Rage II+ DVD,Mach64 GT-B,Mach,1996,4 MB,SDR,64 bit,pci,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Video Xpression,Mach64,Mach,1996,1 MB,EDO,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Video Xpression+,Mach64,Mach,1996,2 MB,EDO,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,3D Rage IIC AGP,Rage IIC,Rage 2,1997,4 MB,SDR,64 bit,agp2x,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,3D Rage IIC PCI,Rage IIC,Rage 2,1997,2 MB,SDR,64 bit,pci,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,3D Rage PRO AGP,Rage PRO,Rage 3,1997,2 MB,SDR,64 bit,agp 1x,unknown,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,3D Rage PRO AGP 2X,Rage PRO,Rage 3,1997,2 MB,SDR,64 bit,agp2x,unknown,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,3D Rage PRO PCI,Rage PRO,Rage 3,1997,8 MB,SDR,64 bit,pci,unknown,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage LT PRO AGP,Mach64 LT,Mach,1997,8 MB,SDR,64 bit,unknown,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage LT PRO AGP,Mach64 LT,Mach,1997,8 MB,SDR,64 bit,agp2x,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage PRO Turbo AGP,Rage PRO Turbo,Rage 3,1997,4 MB,SDR,64 bit,agp 1x,unknown,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage PRO Turbo PCI,Rage PRO Turbo,Rage 3,1997,8 MB,SDR,64 bit,pci,unknown,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,XPert XL AGP 2X,Rage PRO,Rage 3,1997,2 MB,SDR,64 bit,agp2x,unknown,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,Riva 128,NV3,,1997,4 MB,SDR,128 bit,agp2x,4 W,fixed-pipeline,unknown,5.0,1.0,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,Riva 128 PCI,NV3,,1997,4 MB,SDR,128 bit,pci,4 W,fixed-pipeline,unknown,5.0,1.0,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
SiS,6326,6326,SiS 1st Gen,1997,4 MB,EDO,64 bit,pci,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
SiS,6326 AGP,6326,SiS 1st Gen,1997,4 MB,EDO,64 bit,agp 1x,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Sony,Playstation GPU 350nm,GTE-2,,1997,1 MB,SGRAM,32 bit,unknown,10 W,fixed-pipeline,unknown,,,,
3dfx,Voodoo Banshee AGP 16 MB,Banshee,,1998,16 MB,SDR,128 bit,agp 1x,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo Banshee PCI 16 MB,Banshee,,1998,16 MB,SDR,128 bit,pci,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo2 12 MB,SST2,,1998,12 MB,EDO,192 bit,pci,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo2 8 MB,SST2,,1998,8 MB,EDO,192 bit,pci,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage 128 GL,Rage 128,Rage 4,1998,32 MB,SDR,128 bit,agp2x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage 128 GL PCI,Rage 128,Rage 4,1998,32 MB,SDR,128 bit,pci,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage 128 PRO Ultra GL,Rage 128,Rage 4,1998,16 MB,DDR,64 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage 128 VR AGP,Rage 128,Rage 4,1998,32 MB,DDR,64 bit,agp2x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage 128 VR PCI,Rage 128,Rage 4,1998,32 MB,DDR,64 bit,pci,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage XL PCI,Rage XL,Rage 3,1998,8 MB,SDR,64 bit,pci,unknown,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Intel,i740,Auburn,i740,1998,4 MB,SDR,64 bit,agp2x,unknown,fixed-pipeline,unknown,5.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Intel,i740 8 MB,Auburn,i740,1998,8 MB,SDR,64 bit,agp2x,unknown,fixed-pipeline,unknown,5.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Intel,i740 Graphics,Auburn,i740,1998,System Shared,System Shared,System Shared,unknown,unknown,fixed-pipeline,unknown,5.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Intel,i752 Graphics,Portola,Generation 1.0,1998,System Shared,System Shared,System Shared,unknown,unknown,fixed-pipeline,unknown,7.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Matrox,Marvel G200,Eclipse,G200,1998,8 MB,SDR,64 bit,agp2x,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Matrox,Millennium G200,Eclipse,G200,1998,8 MB,SGR,64 bit,pci,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Matrox,Millennium G200 SD,Eclipse,G200,1998,8 MB,SDR,64 bit,pci,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Matrox,Mystique G200,Eclipse,G200,1998,8 MB,SDR,64 bit,agp2x,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Matrox,Productiva G100,Twister,G100,1998,2 MB,SGR,64 bit,agp2x,unknown,fixed-pipeline,unknown,3.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,Riva 128ZX,NV3,,1998,8 MB,SDR,128 bit,agp2x,unknown,fixed-pipeline,unknown,5.0,1.0,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,Riva TNT,NV4,Fahrenheit,1998,16 MB,SDR,128 bit,agp2x,unknown,fixed-pipeline,unknown,5.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Velocity 100,Avenger,,1999,8 MB,SDR,128 bit,agp2x,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo3 1000 AGP,Avenger,,1999,16 MB,SDR,128 bit,agp2x,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo3 2000 AGP,Avenger,,1999,16 MB,SDR,128 bit,agp2x,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo3 2000 PCI,Avenger,,1999,16 MB,SDR,128 bit,pci,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo3 3000 AGP,Avenger,,1999,16 MB,SDR,128 bit,agp2x,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo3 3000 PCI,Avenger,,1999,16 MB,SDR,128 bit,pci,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo3 3500 TV AGP,Avenger,,1999,16 MB,SDR,128 bit,agp2x,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,All-In-Wonder 128,Rage 128,Rage 4,1999,32 MB,SDR,128 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,All-In-Wonder 128 PCI,Rage 128,Rage 4,1999,16 MB,SDR,128 bit,pci,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,All-In-Wonder 128 PRO,Rage 128 PRO,Rage 4,1999,32 MB,SDR,128 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,All-In-Wonder 128 PRO Ultra,Rage 128,Rage 4,1999,32 MB,SDR,128 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Fire GL1,IBM,IBM,1999,32 MB,SDR,256 bit,agp2x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage 128 PRO,Rage 128 PRO,Rage 4,1999,32 MB,SDR,128 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage 128 PRO Ultra,Rage 128 PRO,Rage 4,1999,32 MB,SDR,64 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage 128 Ultra,Rage 128 PRO,Rage 4,1999,16 MB,DDR,64 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage Fury,Rage 128 PRO,Rage 4,1999,32 MB,SDR,128 bit,agp2x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage Fury MAXX,Rage 128 PRO,Rage 4,1999,32 MB,SDR,128 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage Mobility 128 AGP 2X,M3,Rage 4,1999,16 MB,SDR,64 bit,unknown,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage Mobility 128 AGP 4X,M4,Rage 4,1999,16 MB,DDR,64 bit,unknown,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage Mobility-CL,Rage Mobility,Rage 4,1999,8 MB,SDR,64 bit,unknown,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage Mobility-M,Rage Mobility,Rage 4,1999,4 MB,SDR,64 bit,unknown,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage Mobility-M1,M1,Rage 4,1999,8 MB,SDR,64 bit,unknown,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage Mobility-M3,M3,Rage 4,1999,8 MB,SDR,64 bit,unknown,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage Mobility-M4,M4,Rage 4,1999,16 MB,SDR,64 bit,unknown,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage Mobility-P,Rage Mobility,Rage 4,1999,8 MB,SDR,64 bit,unknown,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Rage XL PCI,Rage XL,Rage 3,1999,8 MB,SDR,32 bit,pci,unknown,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Intel,i752,Portola,Generation 1.0,1999,16 MB,SDR,64 bit,agp2x,unknown,fixed-pipeline,unknown,7.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Intel,i810 Graphics,Whitney,Generation 1.0,1999,System Shared,System Shared,System Shared,unknown,unknown,fixed-pipeline,unknown,7.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Matrox,Marvel G400-TV,Toucan,G400,1999,16 MB,SDR,128 bit,pci,unknown,fixed-pipeline,unknown,6.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Matrox,Millennium G200A,Calao,G200,1999,8 MB,SDR,64 bit,pci,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Matrox,Millennium G250,Calao,G200,1999,8 MB,SDR,64 bit,pci,unknown,fixed-pipeline,unknown,5.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Matrox,Millennium G400,Toucan,G400,1999,32 MB,SDR,128 bit,pci,unknown,fixed-pipeline,unknown,6.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Matrox,Millennium G400 MAX,Toucan,G400,1999,32 MB,SDR,128 bit,pci,unknown,fixed-pipeline,unknown,6.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,GeForce 256 DDR,NV10,Celsius,1999,32 MB,DDR,128 bit,agp4x,unknown,fixed-pipeline,unknown,7.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,GeForce 256 SDR,NV10,Celsius,1999,32 MB,SDR,64 bit,agp4x,unknown,fixed-pipeline,unknown,7.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,Quadro,NV10,Celsius,1999,32 MB,SDR,128 bit,agp4x,unknown,fixed-pipeline,unknown,7.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,Riva TNT2,NV5,Fahrenheit,1999,16 MB,SDR,128 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,Riva TNT2 M64,NV5,Fahrenheit,1999,16 MB,SDR,64 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,Riva TNT2 M64 Vanta,NV5,Fahrenheit,1999,16 MB,SDR,64 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,Riva TNT2 M64 Vanta-16,NV5,Fahrenheit,1999,16 MB,SDR,64 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,Riva TNT2 PRO,NV5,Fahrenheit,1999,32 MB,SDR,128 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
NVIDIA,Riva TNT2 Ultra,NV5,Fahrenheit,1999,32 MB,SDR,128 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
SiS,300,300 | 301,SiS 2nd Gen,1999,32 MB,SDR,128 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo4 4500 AGP,VSA-100,Voodoo Scalable,2000,32 MB,SDR,128 bit,agp4x,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo4 4500 PCI,VSA-100,Voodoo Scalable,2000,32 MB,SDR,128 bit,pci,15 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo5 5500 AGP,VSA-100,Voodoo Scalable,2000,32 MB,SDR,128 bit,agp2x,30 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
3dfx,Voodoo5 5500 PCI,VSA-100,Voodoo Scalable,2000,32 MB,SDR,128 bit,pci,30 W,fixed-pipeline,unknown,6.0,1.1,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,All-In-Wonder Radeon 7200,R100,Rage 6,2000,32 MB,DDR,128 bit,pci,unknown,fixed-pipeline,unknown,7.0,1.3,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Fire GL2,RC1000 | GT1000,IBM,2000,64 MB,DDR,256 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Fire GL3,RC1000 | GT1000,IBM,2000,128 MB,DDR,256 bit,agp4x,unknown,fixed-pipeline,unknown,6.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,GameCube GPU,Flipper,Rage 5,2000,16 MB,SDR,64 bit,unknown,45 W,fixed-pipeline,unknown,6.0+,,,
ATI,Radeon 7200,R100,Rage 6,2000,32 MB,DDR,128 bit,agp4x,23 W,fixed-pipeline,unknown,7.0,1.3,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Radeon 7200,R100,Rage 6,2000,32 MB,SDR,128 bit,agp4x,23 W,fixed-pipeline,unknown,7.0,1.3,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Radeon 7200 64 MB,R100,Rage 6,2000,64 MB,DDR,128 bit,agp4x,23 W,fixed-pipeline,unknown,7.0,1.3,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Radeon DDR,Rage 6,Rage 6,2000,32 MB,DDR,128 bit,agp4x,23 W,fixed-pipeline,unknown,7.0,1.3,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Radeon DDR MAXX,Rage 6,Rage 6,2000,32 MB,DDR,128 bit,agp2x,unknown,fixed-pipeline,unknown,7.0,1.3,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Radeon SDR,Rage 6,Rage 6,2000,32 MB,SDR,128 bit,agp4x,23 W,fixed-pipeline,unknown,7.0,1.3,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Radeon SDR PCI,Rage 6,Rage 6,2000,32 MB,SDR,128 bit,pci,23 W,fixed-pipeline,unknown,7.0,1.3,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Intel,i815 Graphics,Solano,Generation 1.0,2000,System Shared,System Shared,System Shared,unknown,unknown,fixed-pipeline,unknown,7.0,1.2,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Matrox,Millennium G450,Condor,G400,2000,32 MB,DDR,64 bit,pci,unknown,fixed-pipeline,unknown,6.0,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
