Brand,Name,Graphics Processor__GPU Name,Graphics Processor__Architecture,Release_Year_Normalized,Memory__Memory Size,Memory__Memory Type,Memory__Memory Bus,Graphics Card__Bus Interface,Board Design__TDP,Render Config__Shading Units,Theoretical Performance__FP32 (float),Graphics Features__DirectX,Graphics Features__OpenGL,Graphics Features__Shader Model,Recommended Resolutions
AMD,Radeon R9 FURY X,Fiji,GCN 3.0,2015,4 GB,HBM,4096 bit,pcie x3.0 x16,275 W,4096.0,unknown,12 (12_0),4.6,6.5,Good:1600x900 | Playable:1920x1080 | Unplayable:2560x1440
AMD,Radeon R9 M270X,Saturn,GCN 2.0,2015,2 GB,GDDR5,128 bit,unknown,unknown,768.0,unknown,12 (12_0),4.6,6.5,Good:1280x720 | Playable:1366x768 | Low FPS:1600x900
AMD,Radeon R9 M280X,Saturn,GCN 2.0,2015,4 GB,GDDR5,128 bit,unknown,unknown,896.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon R9 M280X,Saturn,GCN 2.0,2015,2 GB,GDDR5,128 bit,unknown,unknown,896.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon R9 M360,Tropo,GCN 1.0,2015,4 GB,GDDR5,128 bit,unknown,unknown,512.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:1280x720 | Low FPS:1366x768 | Unplayable:1600x900
AMD,Radeon R9 M365X,Tropo,GCN 1.0,2015,4 GB,GDDR5,128 bit,unknown,unknown,640.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:1280x720 | Playable:1366x768 | Low FPS:1600x900
AMD,Radeon R9 M370X Mac Edition,Tropo,GCN 1.0,2015,2 GB,GDDR5,128 bit,unknown,unknown,640.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:1280x720 | Low FPS:1366x768 | Unplayable:1600x900
AMD,Radeon R9 M375,Tropo,GCN 1.0,2015,2 GB,DDR3,128 bit,unknown,unknown,640.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:1280x720 | Playable:1366x768 | Low FPS:1600x900
AMD,Radeon R9 M375X,Tropo,GCN 1.0,2015,2 GB,GDDR5,128 bit,unknown,unknown,640.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:1280x720 | Playable:1366x768 | Low FPS:1600x900
AMD,Radeon R9 M380,Strato,GCN 2.0,2015,4 GB,GDDR5,128 bit,unknown,unknown,768.0,unknown,12 (12_0),4.6,6.5,Good:1280x720 | Playable:1366x768 | Low FPS:1600x900
